2025-08-18 17:08:30.400 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@350bbd5d, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3c3e363, org.springframework.security.web.context.SecurityContextHolderFilter@2e3252, org.springframework.security.web.header.HeaderWriterFilter@2a2b7a35, org.springframework.security.web.authentication.logout.LogoutFilter@2d6a0766, com.ankai.security.JwtAuthenticationFilter@7a66c35a, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@671d97bc, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@774f2992, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@16c5b50a, org.springframework.security.web.session.SessionManagementFilter@5885e231, org.springframework.security.web.access.ExceptionTranslationFilter@5bb7a59, org.springframework.security.web.access.intercept.AuthorizationFilter@6d8b7ea9]
2025-08-18 17:08:30.629 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-08-18 17:08:30.653 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path '/api'
2025-08-18 17:08:30.661 [main] INFO  com.ankai.AnKaiBackendApplication - Started AnKaiBackendApplication in 2.643 seconds (process running for 3.958)
2025-08-18 17:09:26.339 [http-nio-8080-exec-1] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-08-18 17:09:26.339 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-08-18 17:09:26.340 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2025-08-18 17:19:26.482 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2025-08-18 17:19:26.523 [main] INFO  com.ankai.AnKaiBackendApplication - Starting AnKaiBackendApplication using Java 17.0.15 with PID 21720 (C:\Users\A\Desktop\AnKaiBackend\Ankai_Backend\target\classes started by A in C:\Users\A\Desktop\AnKaiBackend\Ankai_Backend)
2025-08-18 17:19:26.525 [main] INFO  com.ankai.AnKaiBackendApplication - No active profile set, falling back to 1 default profile: "default"
2025-08-18 17:19:27.698 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2025-08-18 17:19:27.705 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-08-18 17:19:27.706 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-08-18 17:19:27.706 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.8]
2025-08-18 17:19:27.780 [main] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring embedded WebApplicationContext
2025-08-18 17:19:27.780 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1213 ms
2025-08-18 17:19:28.588 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@45b96e4c, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@8383a14, org.springframework.security.web.context.SecurityContextHolderFilter@350bbd5d, org.springframework.security.web.header.HeaderWriterFilter@22ca1242, org.springframework.security.web.authentication.logout.LogoutFilter@63a7781, com.ankai.security.JwtAuthenticationFilter@5bb8e6fc, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@16c5b50a, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4f8659d0, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4b691611, org.springframework.security.web.session.SessionManagementFilter@6d8b7ea9, org.springframework.security.web.access.ExceptionTranslationFilter@6f986501, org.springframework.security.web.access.intercept.AuthorizationFilter@320ff86f]
2025-08-18 17:19:28.814 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-08-18 17:19:28.832 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path '/api'
2025-08-18 17:19:28.840 [main] INFO  com.ankai.AnKaiBackendApplication - Started AnKaiBackendApplication in 2.805 seconds (process running for 3.469)
2025-08-18 17:19:49.068 [http-nio-8080-exec-2] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-08-18 17:19:49.068 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-08-18 17:19:49.069 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
